dataset_id,method_id,family,n_jobs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,mcc_mean,mcc_std
GSE6613,switchbox_ktsp,R,25,0.5828571428571427,0.0872438481502304,0.5892727272727272,0.08751111696399785,0.5698802988798143,0.08933935274714112,0.1981069582213808,0.19208502255779047
GSE6613,knn_euclidean,R,25,0.577142857142857,0.09943149056105285,0.5761818181818182,0.09853681612591009,0.5704811355483183,0.10017125402822223,0.15670493188460183,0.1989305748371193
GSE6613,svm_linear,R,25,0.5695238095238095,0.08415692788451776,0.5689090909090909,0.08490271535339827,0.5579250385710072,0.08724781057103452,0.14545225012590218,0.176075749248482
GSE6613,xgboost_shallow,R,25,0.5504761904761906,0.1108954823791019,0.5485454545454547,0.11198589295257538,0.5423311321902251,0.11575537302585111,0.0973354295524157,0.23007941436512985
GSE6613,rrf_ranktreeensemble,R,25,0.5504761904761903,0.07539264817166932,0.5483636363636364,0.0769140517061886,0.4815239207753405,0.1270791516122613,0.10638154220857354,0.17447680136056784
GSE6613,rpart_tree,R,25,0.5447619047619046,0.09920317455237934,0.5436363636363637,0.09679790654112201,0.5337110198944901,0.10147513117079701,0.09007795223469856,0.20043353424440916
GSE6613,switchbox_tsp,R,25,0.5085714285714285,0.0798240695916199,0.5134545454545454,0.08232670253577039,0.4925436794695512,0.08220057023969321,0.03214460625301094,0.1787131954613231
GSE6613,py_tsp,python_gene_pair,25,0.5085714285714286,0.07982406959162006,0.513090909090909,0.08201071622512253,0.4939105749691696,0.0831853381623766,0.029714797273873765,0.17645580402728192
GSE6613,glmnet_enet,R,25,0.5257142857142857,0.04657587540038456,0.5107272727272728,0.048707113649960776,0.4219410357153055,0.09956763919016945,0.020756417967554994,0.10447950568896648
GSE6613,majority,R,25,0.523809523809524,0.0,0.5,0.0,0.34375,0.0,0.0,0.0
